nombre,precio
"L’Oréal Professionnel | Champú Protector de color con Resveratrol, Para pelo teñido, Vitamino Color, SERIE EXPERT, 300ml","12,95 €"
"L'Oréal Professionnel | Champú Metal Detox, Para un cabello suave, brillante y sedoso, Color más duradero, Textura rica y cremosa, Sin Sulfatos, Para todo tipo de cabello, 300ml","22,90 €"
"L'Oréal Professionnel | Mascarilla protectora anti-metales, Después del color, balayage y decoloración, Metal Détox, SERIE EXPERT, 250 ml","19,74 €"
,
,
,
,
"L'Oréal Professionnel | Sérum Concentrado Protección de Puntas Steampod, para Cabellos Dañados o Sensibilizados, 50 ml","16,45 €"
"AlfaParf Sdl Curl Oil, Cranberry","29,07 €"
AlfaParf Semi Di Lino Sublime Cristal Liquid The Original 15 ml,"12,71 €"
Olaplex Núm. 4C Bond Maintenance,"27,00 €"
"Sebastian Professional Penetraitt | Mascarilla | Fuerza y reparación |Sistema de rescate activo | Para cabello dañado, 250 ml","28,95 €"
"L’Oréal Professionnel | Champú Tratamiento Reconstructor para pelo seco y dañado, Absolut Repair, SERIE EXPERT, 300ml","14,65 €"
Living Proof - Desencrespador instantáneo (176 ml),"27,40 €"
Tahe Champú Micelar Contra Polución 400 ml 400 ml,"9,89 €"
"Redken | Champú de Menta Anti Grasa, Limpia y purifica el cabello graso y largos sensibilizados, Refresca las raíces y No aporta peso, Amino Mint, 300 ml","19,40 €"
"L'Oréal Professionnel | Champú para aumentar el volumen para pelo fino, Volumetry, SERIE EXPERT, 300ml","14,70 €"
"L’Oréal Professionnel | Champú Protector del color anti sequedad, Para Cabellos Teñidos, Vitamino Color, SERIE EXPERT","22,92 €"
WELLA Invigo Color Brilliance Shampoo Fijn en Normaal Haar 1000ml,"20,90 €"
"Redken | Champú Hidratante con Aceite de Argán para Cabello Seco y Frágil, All Soft, 300 ml","17,80 €"
"L'Oréal Professionnel | Champú reparador e iluminador para pelo con mechas o rubio, Blondifier Gloss, SERIE EXPERT, 300ml","13,29 €"
Alfaparf Milano Semi Di Lino Sublime Cristalli Liquidi The Original 30ml - suero iluminador,"21,67 €"
"Redken, Spray de protección térmica, Reduce el encrespamiento para un brillo intenso, Protege hasta 230°C, Thermal Spray, 250ml","25,20 €"
,
,
,
,
"WELLA PROFESSIONALS Color Motion Champú, Estándar, Cedro, 1000 Mililitro","23,50 €"
,
,
